county,share_white2000
1001,.80433792
1003,.86590564
1005,.50907332
1007,.7608481
1009,.92202812
1011,.23191227
1013,.57476223
1015,.78915697
1017,.61128759
1019,.92434883
1021,.85921514
1023,.55575556
1025,.55741453
1027,.81280237
1029,.93886423
1031,.76116198
1033,.8099224
1035,.55003017
1037,.64303297
1039,.85943204
1041,.73438913
1043,.95413756
1045,.73161149
1047,.36103725
1049,.90639645
1051,.76863235
1053,.64448547
1055,.83303708
1057,.86506438
1059,.86859137
1061,.86187053
1063,.18994392
1065,.40417907
1067,.66298109
1069,.73928219
1071,.9137879
1073,.62017435
1075,.86129063
1077,.88124484
1079,.781865
1081,.73325437
1083,.81908685
1085,.2606231
1087,.15206304
1089,.71882993
1091,.46584272
1093,.94121879
1095,.91065359
1097,.6684255
1099,.58439928
1101,.5197677
1103,.83955276
1105,.30827922
1107,.5686692
1109,.59590948
1111,.76553392
1113,.57437181
1115,.89534873
1117,.89470005
1119,.26085255
1121,.66520184
1123,.7338165
1125,.69796914
1127,.92004138
1129,.64467967
1131,.27655518
1133,.96899962
2013,.19317761
2016,.37733477
2020,.69845718
2050,.12419746
2060,.52146262
2068,.84521925
2070,.20430689
2090,.77028537
2100,.81939799
2105,.46488973
2110,.73360014
2122,.85192865
2130,.72743034
2150,.56890315
2164,.18760285
2170,.86269706
2180,.19180344
2185,.25449246
2188,.12155073
2195,.71780062
2198,.51015037
2220,.67340738
2230,.91415316
2240,.79300386
2261,.74810863
2270,.046955038
2275,.73998684
2282,.50247526
2290,.23982374
4001,.20897858
4003,.61772478
4005,.59339255
4007,.69662821
4009,.55892849
4011,.51487774
4012,.65899718
4013,.67265862
4015,.84650779
4017,.46766812
4019,.62111831
4021,.59442532
4023,.19021337
4025,.86579037
4027,.42011598
5001,.75110096
5003,.69363123
5005,.97110897
5007,.87539309
5009,.96927971
5011,.62388647
5013,.74208164
5015,.8776083
5017,.44030061
5019,.73880655
5021,.97566432
5023,.97268736
5025,.83970624
5027,.62945372
5029,.83493322
5031,.8852514
5033,.9079237
5035,.53279912
5037,.76637489
5039,.56424421
5041,.50190753
5043,.69815361
5045,.87733877
5047,.95316607
5049,.97297323
5051,.88210905
5053,.95134783
5055,.9685744
5057,.60179633
5059,.87764531
5061,.71454668
5063,.94189936
5065,.95943642
5067,.8015725
5069,.50600684
5071,.89771664
5073,.61725247
5075,.97350335
5077,.40670371
5079,.65053767
5081,.73985505
5083,.95756978
5085,.9138183
5087,.94453067
5089,.96954012
5091,.73893845
5093,.66589677
5095,.58578563
5097,.94573611
5099,.66448313
5101,.96811897
5103,.59455287
5105,.95048594
5107,.39878392
5109,.91306359
5111,.90832877
5113,.93147427
5115,.9262014
5117,.84624892
5119,.65494394
5121,.96494603
5123,.43900695
5125,.94755489
5127,.90503836
5129,.96775776
5131,.80264109
5133,.72179645
5135,.96399796
5137,.96452296
5139,.66900104
5141,.9603644
5143,.83975482
5145,.92624795
5147,.67426383
5149,.83580071
6001,.41723469
6003,.7177152
6005,.82482785
6007,.80006385
6009,.87077224
6011,.4678703
6013,.58215916
6015,.69946015
6017,.85573226
6019,.40972978
6021,.62483948
6023,.81465745
6025,.20731132
6027,.73859721
6029,.50175726
6031,.44130453
6033,.80537736
6035,.70270997
6037,.31793711
6039,.45641929
6041,.78679842
6043,.85261232
6045,.74790776
6047,.41478422
6049,.8125937
6051,.76343685
6053,.39734563
6055,.68394083
6057,.90200853
6059,.52251643
6061,.82924014
6063,.88604742
6065,.52267534
6067,.58354032
6069,.4629969
6071,.44599995
6073,.5554139
6075,.4361378
6077,.49172869
6079,.76883852
6081,.50144452
6083,.559861
6085,.44510874
6087,.64393103
6089,.8648181
6091,.90295357
6093,.83161634
6095,.49734682
6097,.7383104
6099,.57737327
6101,.60517663
6103,.78737319
6105,.86472684
6107,.42478174
6109,.87524486
6111,.56090522
6113,.5915069
6115,.64750463
8001,.65808076
8003,.5326314
8005,.74489403
8007,.80787712
8009,.90429175
8011,.63254416
8013,.8352809
8014,.83468622
8015,.87486786
8017,.90452713
8019,.94060117
8021,.39506337
8023,.28612959
8025,.6652773
8027,.94176418
8029,.85782272
8031,.52222258
8033,.92787421
8035,.89912295
8037,.74028945
8039,.93143427
8041,.76908332
8043,.81488454
8045,.8126635
8047,.92018759
8049,.93228698
8051,.9245702
8053,.96582276
8055,.61259186
8057,.9207356
8059,.85037953
8061,.94327992
8063,.82770437
8065,.61634028
8067,.82662261
8069,.87813359
8071,.56000298
8073,.84139442
8075,.83471137
8077,.86907315
8079,.95427197
8081,.88322109
8083,.77666259
8085,.82622403
8087,.67194742
8089,.59377706
8091,.93185461
8093,.92450523
8095,.86044049
8097,.90583247
8099,.66017091
8101,.60121793
8103,.92657375
8105,.57640791
8107,.94763577
8109,.55869251
8111,.91218638
8113,.90371251
8115,.86494356
8117,.86876595
8119,.92957938
8121,.92716682
8123,.72355872
8125,.86105478
9001,.7313273
9003,.73297608
9005,.94512558
9007,.89515132
9009,.74870157
9011,.8466177
9013,.91033047
9015,.8846215
10001,.73212552
10003,.71593541
10005,.78819931
11001,.28279811
12001,.70524615
12003,.83157122
12005,.83829355
12007,.75256288
12009,.83880979
12011,.57435203
12013,.78457004
12015,.90662384
12017,.92885047
12019,.85074699
12021,.74472392
12023,.78247297
12027,.60827506
12029,.87551212
12031,.65990287
12033,.71566492
12035,.81905633
12037,.79973084
12039,.36303675
12041,.88866359
12043,.67873049
12045,.78820372
12047,.55406004
12049,.54626316
12051,.43712762
12053,.89265054
12055,.77221441
12057,.65029734
12059,.89030337
12061,.82782733
12063,.69917285
12065,.58236396
12067,.74186498
12069,.84011239
12071,.82934475
12073,.64152193
12075,.83254784
12077,.74880522
12079,.56762487
12081,.81933188
12083,.81149971
12085,.86210197
12086,.21203309
12087,.77259898
12089,.89022839
12091,.81391358
12093,.71470159
12095,.59321523
12097,.61204761
12099,.71690279
12101,.89636242
12103,.82864743
12105,.75185895
12107,.76013762
12109,.89278805
12111,.7792846
12113,.89088392
12115,.90200686
12117,.75935984
12119,.80442441
12121,.81560749
12123,.77945912
12125,.72270715
12127,.82378221
12129,.83819252
12131,.88473123
12133,.80477577
13001,.75324076
13003,.62362498
13005,.79863691
13007,.46460858
13009,.55919546
13011,.9185881
13013,.83486122
13015,.86385328
13017,.62288064
13019,.85062087
13021,.52594328
13023,.74136281
13025,.93691415
13027,.57931733
13029,.82107592
13031,.67995685
13033,.4659538
13035,.68691534
13037,.3746762
13039,.73580754
13043,.63098669
13045,.80419236
13047,.95715481
13049,.68586624
13051,.57024103
13053,.55685908
13055,.85462421
13057,.90227169
13059,.6195448
13061,.3818886
13063,.36715749
13065,.6928615
13067,.69463181
13069,.65784407
13071,.65582353
13073,.8115747
13075,.67191947
13077,.76534975
13079,.72380632
13081,.53211522
13083,.9689492
13085,.96508658
13087,.5668748
13089,.33308637
13091,.68528497
13093,.44794819
13095,.3932403
13097,.75802022
13099,.5009892
13101,.7164287
13103,.83778441
13105,.66236007
13107,.62352109
13109,.61244512
13111,.97551912
13113,.82397038
13115,.8006624
13117,.92144781
13119,.89062393
13121,.49183503
13123,.9112708
13125,.90336466
13127,.70770437
13129,.86617851
13131,.63788813
13133,.5209524
13135,.69968218
13137,.84934658
13139,.72007143
13141,.21715541
13143,.92604953
13145,.78476399
13147,.78945392
13149,.87173384
13151,.80667067
13153,.71426499
13155,.71673387
13157,.87255806
13159,.69699174
13161,.78970987
13163,.42422843
13165,.55689919
13167,.61669177
13169,.74391592
13171,.67978179
13173,.70307922
13175,.64459151
13177,.8262251
13179,.44422933
13181,.63848627
13183,.64631993
13185,.62189555
13187,.92480421
13189,.59813225
13191,.60174096
13193,.36920309
13195,.88097829
13197,.59078956
13199,.56293458
13201,.69897336
13205,.49923423
13207,.70076609
13209,.68013602
13211,.69013739
13213,.92730945
13215,.52016979
13217,.75537628
13219,.88948369
13221,.78023833
13223,.90162897
13225,.51590109
13227,.95397222
13229,.85994369
13231,.83333629
13233,.78066403
13235,.61888301
13237,.69562542
13239,.52001542
13241,.93177485
13243,.38253471
13245,.45758426
13247,.72182709
13249,.65660506
13251,.53141093
13253,.60845
13255,.67184329
13257,.85516798
13259,.36271217
13261,.46899846
13263,.3676039
13265,.37891188
13267,.58921874
13269,.54977089
13271,.58065289
13273,.36817375
13275,.58873749
13277,.64456415
13279,.65873551
13281,.98288423
13283,.64858961
13285,.66235614
13287,.56814474
13289,.54606086
13291,.97428942
13293,.70125622
13295,.93912828
13297,.83498752
13299,.70466894
13301,.39209804
13303,.45425919
13305,.74834275
13307,.49477103
13309,.61925352
13311,.94281834
13313,.73043114
13315,.61272538
13317,.53700417
13319,.57742035
13321,.68324351
15001,.30692104
15003,.19463632
15005,.22448979
15007,.2798866
15009,.3148883
16001,.90974295
16003,.95430022
16005,.89650071
16007,.9665013
16009,.87804562
16011,.7925213
16013,.86856002
16015,.93283361
16017,.95592737
16019,.90482616
16021,.93197513
16023,.93342531
16025,.91826439
16027,.79482269
16029,.94857615
16031,.79646993
16033,.63894325
16035,.93764961
16037,.94426531
16039,.79614067
16041,.93669522
16043,.87525606
16045,.90625733
16047,.80345166
16049,.93417799
16051,.89548433
16053,.8082602
16055,.94419301
16057,.92865002
16059,.95464295
16061,.91272551
16063,.83456975
16065,.94112664
16067,.722148
16069,.90578538
16071,.96630305
16073,.71707499
16075,.84749806
16077,.74039632
16079,.94750702
16081,.86847806
16083,.87566668
16085,.9579345
16087,.82959908
17001,.94642174
17003,.63663548
17005,.89945138
17007,.86280847
17009,.7661258
17011,.9349218
17013,.9837501
17015,.95949829
17017,.8956663
17019,.77177113
17021,.95878583
17023,.98574054
17025,.98174649
17027,.9374907
17029,.94341362
17031,.49812174
17033,.92465574
17035,.98516589
17037,.85219765
17039,.97080153
17041,.9534955
17043,.7869249
17045,.96831274
17047,.98536378
17049,.98240381
17051,.93323201
17053,.97506815
17055,.98226655
17057,.96204525
17059,.97891062
17061,.97940665
17063,.94870627
17065,.97827756
17067,.9828645
17069,.9493764
17071,.97908753
17073,.94878435
17075,.94423884
17077,.79291528
17079,.98878729
17081,.89478314
17083,.97600782
17085,.9748739
17087,.84032303
17089,.69352341
17091,.80157334
17093,.90379465
17095,.88367742
17097,.74746203
17099,.9204067
17101,.97515959
17103,.90385813
17105,.90963322
17107,.90026838
17109,.91974509
17111,.89486033
17113,.87975681
17115,.83561343
17117,.97559416
17119,.90086395
17121,.93786097
17123,.97581577
17125,.98506892
17127,.9213438
17129,.98026693
17131,.97603881
17133,.98321104
17135,.96032023
17137,.92049587
17139,.98552489
17141,.92276639
17143,.79832953
17145,.88770396
17147,.98321629
17149,.96935934
17151,.92904449
17153,.66314507
17155,.95586646
17157,.91453761
17159,.97647566
